"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230087","Admin Creates New School","UAT - Chrome","Fri Jan 02 09:58:06 UTC 2026","broken","Fri Jan 02 10:01:56 UTC 2026","","specs/WIL/Schools.spec.ts","",""
"","230097","Add and Remove Academic Record","UAT - Chrome","Fri Jan 02 09:46:34 UTC 2026","broken","Fri Jan 02 09:50:24 UTC 2026","","specs/studentManagement/AcademicRecordAddandRemove.spec.ts","",""
"","230100","Student Upload POP in My Account","UAT - Chrome","Fri Jan 02 09:53:20 UTC 2026","broken","Fri Jan 02 09:57:10 UTC 2026","","specs/studentPortal/StudentPOPUpload.spec.ts","",""
"","230104","Semester Config","UAT - Chrome","Fri Jan 02 09:45:38 UTC 2026","broken","Fri Jan 02 09:49:28 UTC 2026","","specs/programmeManagement/SemesterConfigAdmin.spec.ts","",""
"","230125","Plagiarism Scales","UAT - Chrome","Fri Jan 02 09:34:58 UTC 2026","broken","Fri Jan 02 09:38:48 UTC 2026","","specs/administration/PlagiarismScalesAdmin.spec.ts","",""
"","230114","Assessor – Accept and Process Placement","UAT - Chrome","Fri Jan 02 09:57:11 UTC 2026","broken","Fri Jan 02 10:01:01 UTC 2026","WIL Placements Automation Flow","specs/WIL/Placements.spec.ts","",""
"","230085","Programme Management","UAT - Chrome","Fri Jan 02 09:42:43 UTC 2026","broken","Fri Jan 02 09:46:33 UTC 2026","","specs/programmeManagement/ProgrammeManagementAdmin.spec.ts","",""
"","202836","Apply New Student","UAT - Chrome","Fri Jan 02 09:38:23 UTC 2026","failed","Fri Jan 02 09:41:46 UTC 2026","","specs/applications/ApplicationUploadPOP.spec.ts","",""
"","202784","Accepted Applicant Redirect To Registration Fee","UAT - Chrome","Fri Jan 02 09:38:51 UTC 2026","failed","Fri Jan 02 09:42:13 UTC 2026","","specs/applications/RegistrationFeeRedirect.spec.ts","",""
"","24","Verify if Student exists in DB","UAT - Chrome","Fri Jan 02 09:38:51 UTC 2026","failed","Fri Jan 02 09:38:51 UTC 2026","","specs/database/db-student-check.spec.ts","",""
"","230084","Material Combinations Page Load","UAT - Chrome","Fri Jan 02 09:38:52 UTC 2026","broken","Fri Jan 02 09:42:42 UTC 2026","","specs/logistics/VerifyMaterialCombinationsPage.spec.ts","",""
