"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230136","Plagiarism Scales","UAT - Chrome","Wed Dec 31 09:53:47 UTC 2025","broken","Wed Dec 31 09:57:37 UTC 2025","","specs/administration/PlagiarismScalesAdmin.spec.ts","",""
"","230087","Accepted Applicant Redirect To Registration Fee with Application Fee","UAT - Chrome","Wed Dec 31 09:57:39 UTC 2025","broken","Wed Dec 31 10:01:29 UTC 2025","","specs/applications/RegistrationandApplicationFeeRedirect.spec.ts","",""
"","15","Verify if Student exists in DB","UAT - Chrome","Wed Dec 31 09:57:40 UTC 2025","failed","Wed Dec 31 09:57:40 UTC 2025","","specs/database/db-wil-placement-check.spec.ts","",""
"","230091","Material Combinations Page Load","UAT - Chrome","Wed Dec 31 09:57:41 UTC 2025","broken","Wed Dec 31 10:01:31 UTC 2025","","specs/logistics/VerifyMaterialCombinationsPage.spec.ts","",""
"","202235","Apply New Student","UAT - Chrome","Wed Dec 31 09:57:11 UTC 2025","failed","Wed Dec 31 10:00:34 UTC 2025","","specs/applications/ApplicationUploadPOP.spec.ts","",""
"","25","Verify if Student exists in DB","UAT - Chrome","Wed Dec 31 09:57:39 UTC 2025","failed","Wed Dec 31 09:57:40 UTC 2025","","specs/database/db-student-check.spec.ts","",""
"","230115","Create New Marketer","UAT - Chrome","Wed Dec 31 10:00:35 UTC 2025","broken","Wed Dec 31 10:04:25 UTC 2025","","specs/marketing/CreateMarketer.spec.ts","",""
"","202184","Accepted Applicant Redirect To Registration Fee","UAT - Chrome","Wed Dec 31 09:57:39 UTC 2025","failed","Wed Dec 31 10:01:02 UTC 2025","","specs/applications/RegistrationFeeRedirect.spec.ts","",""
"","230126","Impersonation","UAT - Chrome","Wed Dec 31 09:53:47 UTC 2025","broken","Wed Dec 31 09:57:37 UTC 2025","","specs/administration/Impersonation.spec.ts","",""
"","202378","Apply New Student","UAT - Chrome","Wed Dec 31 09:53:47 UTC 2025","failed","Wed Dec 31 09:57:09 UTC 2025","","specs/applications/ApplicationPeachCardPayment.spec.ts","",""
"","202386","Apply New Student","UAT - Chrome","Wed Dec 31 09:53:47 UTC 2025","failed","Wed Dec 31 09:57:10 UTC 2025","","specs/applications/ApplicationPeachPayment.spec.ts","",""
"","202235","Apply New Student","UAT - Chrome","Wed Dec 31 09:57:11 UTC 2025","failed","Wed Dec 31 10:00:34 UTC 2025","","specs/applications/ApplicationUploadPOPPassport.spec.ts","",""
"","230128","Admit Application","UAT - Chrome","Wed Dec 31 09:53:47 UTC 2025","broken","Wed Dec 31 09:57:37 UTC 2025","","specs/applications/AdminApplicationAdmit.spec.ts","",""
"","230114","Shipments Failure Page Load","UAT - Chrome","Wed Dec 31 10:00:35 UTC 2025","broken","Wed Dec 31 10:04:25 UTC 2025","","specs/logistics/VerifyShipmentFailurePage.spec.ts","",""
